frame_number,timestamp,track_id,class_name,confidence,bbox_x1,bbox_y1,bbox_x2,bbox_y2,center_x,center_y,base_x,base_y,latitude,longitude,map_px,map_py
46,24.931,13,bicycle,0.25,40,370,85,470,62,420,62,470,44.655556,10.934467,1784,1049
46,24.931,14,bicycle,0.25,1264,166,1292,194,1278,180,1278,194,44.654874,10.93468,2363,2900
46,24.931,17,car,0.25,492,219,561,263,526,241,527,263,44.655386,10.934699,2414,1510
46,24.931,18,car,0.25,501,209,586,247,543,228,544,247,44.655354,10.934754,2564,1597
47,25.465,1,car,0.25,-15,435,277,641,131,538,130,641,44.655579,10.934366,1509,986
47,25.465,2,car,0.25,576,278,671,352,623,315,623,352,44.655469,10.934483,1829,1285
47,25.465,3,car,0.25,526,243,617,302,571,272,571,302,44.655431,10.93458,2091,1387
47,25.465,5,car,0.25,494,221,566,268,530,244,530,268,44.655394,10.934681,2366,1490
47,25.465,7,car,0.25,527,210,580,239,553,224,553,239,44.655335,10.934786,2652,1649
47,25.465,11,car,0.25,530,222,555,241,542,231,543,241,44.655342,10.934781,2637,1631
47,25.465,13,bicycle,0.25,42,362,91,466,66,414,66,466,44.655555,10.934469,1791,1052
47,25.465,14,bicycle,0.25,1264,167,1291,194,1277,180,1277,194,44.654875,10.934681,2365,2899
47,25.465,18,car,0.25,504,210,578,243,541,226,541,243,44.655346,10.934772,2614,1618
47,25.465,19,car,0.6419,482,218,514,246,498,232,498,246,44.65536,10.934775,2620,1580
48,26.028,1,car,0.25,-28,438,268,648,120,543,120,648,44.65558,10.934364,1505,983
48,26.028,2,car,0.25,571,276,672,355,621,315,622,355,44.655471,10.93448,1819,1279
48,26.028,3,car,0.25,528,242,619,302,573,272,573,302,44.655431,10.93458,2090,1388
48,26.028,5,car,0.25,494,223,565,269,529,246,529,269,44.655395,10.934679,2359,1485
